행정동_ID,행정동_명칭,월,버스_승객_수_07시,버스_승객_수_08시,출근_시간_버스_승객_수,출근_시간_평일_일평균_승객수
11010530,사직동,06,24799.0,33151.0,57950.0,2897.5
11010540,삼청동,06,2398.0,3586.0,5984.0,299.2
11010550,부암동,06,14235.0,16648.0,30883.0,1544.15
11010560,평창동,06,17256.0,15200.0,32456.0,1622.8
11010570,무악동,06,1551.0,2052.0,3603.0,180.15
11010580,교남동,06,12162.0,13210.0,25372.0,1268.6
11010600,가회동,06,3590.0,4724.0,8314.0,415.7
11010610,"종로1,2,3,4가동",06,40767.0,68288.0,109055.0,5452.75
11010630,"종로5,6가동",06,7102.0,11897.0,18999.0,949.95
11010640,이화동,06,17222.0,26581.0,43803.0,2190.15
11010670,창신1동,06,8776.0,13494.0,22270.0,1113.5
11010680,창신2동,06,204.0,231.0,435.0,21.75
11010690,창신3동,06,3004.0,2901.0,5905.0,295.25
11010700,숭인1동,06,4807.0,7520.0,12327.0,616.35
11010710,숭인2동,06,8467.0,12346.0,20813.0,1040.65
11010720,청운효자동,06,9870.0,11341.0,21211.0,1060.55
11010730,혜화동,06,20513.0,25498.0,46011.0,2300.55
11020520,소공동,06,13391.0,24169.0,37560.0,1878.0
11020540,회현동,06,26738.0,41265.0,68003.0,3400.15
11020550,명동,06,22720.0,31617.0,54337.0,2716.85
11020570,필동,06,4660.0,8554.0,13214.0,660.7
11020580,장충동,06,2733.0,5537.0,8270.0,413.5
11020590,광희동,06,8508.0,14093.0,22601.0,1130.05
11020600,을지로동,06,1653.0,3328.0,4981.0,249.05
11020650,신당5동,06,4949.0,7979.0,12928.0,646.4
11020670,황학동,06,5971.0,8104.0,14075.0,703.75
11020680,중림동,06,7912.0,10088.0,18000.0,900.0
11020690,신당동,06,4988.0,6631.0,11619.0,580.95
11020700,다산동,06,7288.0,9512.0,16800.0,840.0
11020710,약수동,06,6934.0,8498.0,15432.0,771.6
11020720,청구동,06,2154.0,3055.0,5209.0,260.45
11020730,동화동,06,2293.0,2253.0,4546.0,227.3
11030510,후암동,06,12220.0,16477.0,28697.0,1434.85
11030520,용산2가동,06,16587.0,23140.0,39727.0,1986.35
11030530,남영동,06,28993.0,39881.0,68874.0,3443.7
11030570,원효로2동,06,15004.0,16311.0,31315.0,1565.75
11030580,효창동,06,8968.0,13012.0,21980.0,1099.0
11030590,용문동,06,5581.0,5796.0,11377.0,568.85
11030630,이촌1동,06,8123.0,9656.0,17779.0,888.95
11030640,이촌2동,06,7072.0,6379.0,13451.0,672.55
11030650,이태원1동,06,5433.0,10002.0,15435.0,771.75
11030660,이태원2동,06,5420.0,7723.0,13143.0,657.15
11030690,서빙고동,06,11223.0,14560.0,25783.0,1289.15
11030700,보광동,06,6174.0,7978.0,14152.0,707.6
11030710,청파동,06,12147.0,16014.0,28161.0,1408.05
11030720,원효로1동,06,17891.0,24074.0,41965.0,2098.25
11030730,한강로동,06,33011.0,50177.0,83188.0,4159.4
11030740,한남동,06,30698.0,44456.0,75154.0,3757.7
11040520,왕십리2동,06,8749.0,10345.0,19094.0,954.7
11040540,마장동,06,9247.0,11023.0,20270.0,1013.5
11040550,사근동,06,5755.0,7636.0,13391.0,669.55
11040560,행당1동,06,15140.0,19182.0,34322.0,1716.1
11040570,행당2동,06,9028.0,10147.0,19175.0,958.75
11040580,응봉동,06,11051.0,12786.0,23837.0,1191.85
11040590,금호1가동,06,9626.0,10335.0,19961.0,998.05
11040620,금호4가동,06,13850.0,16943.0,30793.0,1539.65
11040650,성수1가1동,06,6064.0,8025.0,14089.0,704.45
11040660,성수1가2동,06,2579.0,3683.0,6262.0,313.1
11040670,성수2가1동,06,11862.0,14648.0,26510.0,1325.5
11040680,성수2가3동,06,5093.0,11620.0,16713.0,835.65
11040690,송정동,06,6058.0,7324.0,13382.0,669.1
11040700,용답동,06,10783.0,14133.0,24916.0,1245.8
11040710,왕십리도선동,06,11665.0,16049.0,27714.0,1385.7
11040720,"금호2,3가동",06,10809.0,13396.0,24205.0,1210.25
11040730,옥수동,06,11375.0,14666.0,26041.0,1302.05
11050530,화양동,06,10607.0,15871.0,26478.0,1323.9
11050540,군자동,06,15501.0,19880.0,35381.0,1769.05
11050550,중곡1동,06,8086.0,9768.0,17854.0,892.7
11050560,중곡2동,06,10396.0,12343.0,22739.0,1136.95
11050570,중곡3동,06,9612.0,10356.0,19968.0,998.4
11050580,중곡4동,06,8166.0,7833.0,15999.0,799.95
11050590,능동,06,10779.0,13906.0,24685.0,1234.25
11050600,구의1동,06,10409.0,13633.0,24042.0,1202.1
11050610,구의2동,06,15155.0,17853.0,33008.0,1650.4
11050620,구의3동,06,6492.0,8884.0,15376.0,768.8
11050630,광장동,06,11246.0,12887.0,24133.0,1206.65
11050640,자양1동,06,11734.0,16091.0,27825.0,1391.25
11050650,자양2동,06,16811.0,20663.0,37474.0,1873.7
11050660,자양3동,06,9768.0,11738.0,21506.0,1075.3
11050670,자양4동,06,6709.0,8422.0,15131.0,756.55
11060710,회기동,06,6724.0,9317.0,16041.0,802.05
11060720,휘경1동,06,21688.0,32335.0,54023.0,2701.15
11060730,휘경2동,06,19877.0,23284.0,43161.0,2158.05
11060800,청량리동,06,18241.0,24062.0,42303.0,2115.15
11060810,용신동,06,40835.0,57227.0,98062.0,4903.1
11060820,제기동,06,25389.0,33994.0,59383.0,2969.15
11060830,전농1동,06,30429.0,38752.0,69181.0,3459.05
11060840,전농2동,06,21506.0,21956.0,43462.0,2173.1
11060860,답십리2동,06,22929.0,25384.0,48313.0,2415.65
11060870,장안1동,06,33054.0,38525.0,71579.0,3578.95
11060880,장안2동,06,38425.0,36444.0,74869.0,3743.45
11060890,이문1동,06,9745.0,11275.0,21020.0,1051.0
11060900,이문2동,06,10047.0,8922.0,18969.0,948.45
11060910,답십리1동,06,19187.0,21674.0,40861.0,2043.05
11070520,면목2동,06,19154.0,20008.0,39162.0,1958.1
11070540,면목4동,06,11277.0,11764.0,23041.0,1152.05
11070550,면목5동,06,13594.0,13654.0,27248.0,1362.4
11070570,면목7동,06,11684.0,12011.0,23695.0,1184.75
11070590,상봉1동,06,7177.0,7596.0,14773.0,738.65
11070600,상봉2동,06,21271.0,28004.0,49275.0,2463.75
11070610,중화1동,06,6274.0,7228.0,13502.0,675.1
11070620,중화2동,06,17845.0,23854.0,41699.0,2084.95
11070640,묵1동,06,10762.0,12823.0,23585.0,1179.25
11070650,묵2동,06,6856.0,7760.0,14616.0,730.8
11070680,망우3동,06,12559.0,12568.0,25127.0,1256.35
11070690,신내1동,06,47060.0,45216.0,92276.0,4613.8
11070700,신내2동,06,15166.0,17953.0,33119.0,1655.95
11070710,면목본동,06,18137.0,25352.0,43489.0,2174.45
11070720,"면목3,8동",06,18388.0,18848.0,37236.0,1861.8
11070730,망우본동,06,31677.0,32456.0,64133.0,3206.65
11080580,돈암1동,06,20963.0,26938.0,47901.0,2395.05
11080590,돈암2동,06,16896.0,15942.0,32838.0,1641.9
11080600,안암동,06,8169.0,11468.0,19637.0,981.85
11080610,보문동,06,11824.0,16648.0,28472.0,1423.6
11080620,정릉1동,06,18638.0,20682.0,39320.0,1966.0
11080630,정릉2동,06,28442.0,28374.0,56816.0,2840.8
11080640,정릉3동,06,8024.0,10426.0,18450.0,922.5
11080650,정릉4동,06,27233.0,30449.0,57682.0,2884.1
11080660,길음1동,06,37400.0,40064.0,77464.0,3873.2
11080680,길음2동,06,12510.0,15854.0,28364.0,1418.2
11080710,월곡1동,06,19607.0,21166.0,40773.0,2038.65
11080720,월곡2동,06,5787.0,9102.0,14889.0,744.45
11080760,장위1동,06,24823.0,22956.0,47779.0,2388.95
11080770,장위2동,06,9284.0,11051.0,20335.0,1016.75
11080780,장위3동,06,17805.0,16204.0,34009.0,1700.45
11080810,성북동,06,23596.0,28740.0,52336.0,2616.8
11080820,삼선동,06,26989.0,32964.0,59953.0,2997.65
11080830,동선동,06,15879.0,22590.0,38469.0,1923.45
11080840,종암동,06,37861.0,40630.0,78491.0,3924.55
11080850,석관동,06,16896.0,21069.0,37965.0,1898.25
11090600,번1동,06,19523.0,28976.0,48499.0,2424.95
11090610,번2동,06,21862.0,21097.0,42959.0,2147.95
11090620,번3동,06,18633.0,17407.0,36040.0,1802.0
11090630,수유1동,06,24867.0,26527.0,51394.0,2569.7
11090640,수유2동,06,15969.0,16849.0,32818.0,1640.9
11090650,수유3동,06,24619.0,31371.0,55990.0,2799.5
11090690,삼양동,06,14043.0,12358.0,26401.0,1320.05
11090700,미아동,06,11570.0,15747.0,27317.0,1365.85
11090710,송중동,06,28436.0,41123.0,69559.0,3477.95
11090720,송천동,06,28264.0,32424.0,60688.0,3034.4
11090730,삼각산동,06,17717.0,16039.0,33756.0,1687.8
11090740,우이동,06,18989.0,21731.0,40720.0,2036.0
11090750,인수동,06,20716.0,20147.0,40863.0,2043.15
11100510,쌍문1동,06,18664.0,18433.0,37097.0,1854.85
11100520,쌍문2동,06,23762.0,21133.0,44895.0,2244.75
11100530,쌍문3동,06,11022.0,14559.0,25581.0,1279.05
11100540,쌍문4동,06,18698.0,16714.0,35412.0,1770.6
11100550,방학1동,06,18507.0,18488.0,36995.0,1849.75
11100560,방학2동,06,11995.0,10890.0,22885.0,1144.25
11100570,방학3동,06,28194.0,22207.0,50401.0,2520.05
11100590,창1동,06,8593.0,12474.0,21067.0,1053.35
11100600,창2동,06,19278.0,19881.0,39159.0,1957.95
11100610,창3동,06,14669.0,15589.0,30258.0,1512.9
11100620,창4동,06,16880.0,17906.0,34786.0,1739.3
11100630,창5동,06,7064.0,9506.0,16570.0,828.5
11100640,도봉1동,06,20040.0,22529.0,42569.0,2128.45
11100650,도봉2동,06,9601.0,9624.0,19225.0,961.25
11110510,월계1동,06,18782.0,21063.0,39845.0,1992.25
11110520,월계2동,06,17032.0,15949.0,32981.0,1649.05
11110530,월계3동,06,15703.0,14110.0,29813.0,1490.65
11110560,공릉2동,06,24822.0,21310.0,46132.0,2306.6
11110580,하계1동,06,15860.0,14722.0,30582.0,1529.1
11110590,하계2동,06,11625.0,10910.0,22535.0,1126.75
11110600,중계본동,06,20291.0,15713.0,36004.0,1800.2
11110610,중계1동,06,16192.0,12147.0,28339.0,1416.95
11110640,중계4동,06,8075.0,7460.0,15535.0,776.75
11110650,상계1동,06,15875.0,12963.0,28838.0,1441.9
11110660,상계2동,06,12899.0,14505.0,27404.0,1370.2
11110690,상계5동,06,13763.0,11042.0,24805.0,1240.25
11110720,상계8동,06,8271.0,6875.0,15146.0,757.3
11110730,상계9동,06,9024.0,8538.0,17562.0,878.1
11110740,상계10동,06,11312.0,11736.0,23048.0,1152.4
11110760,"상계3,4동",06,6341.0,5314.0,11655.0,582.75
11110770,"상계6,7동",06,12626.0,12669.0,25295.0,1264.75
11110780,"중계2,3동",06,14796.0,13871.0,28667.0,1433.35
11110790,공릉1동,06,16831.0,18139.0,34970.0,1748.5
11120510,녹번동,06,23423.0,25085.0,48508.0,2425.4
11120520,불광1동,06,27310.0,29009.0,56319.0,2815.95
11120550,갈현1동,06,11875.0,12340.0,24215.0,1210.75
11120560,갈현2동,06,14531.0,15114.0,29645.0,1482.25
11120570,구산동,06,26695.0,26002.0,52697.0,2634.85
11120580,대조동,06,16911.0,18618.0,35529.0,1776.45
11120590,응암1동,06,32294.0,34167.0,66461.0,3323.05
11120600,응암2동,06,21192.0,19297.0,40489.0,2024.45
11120650,신사1동,06,18559.0,17441.0,36000.0,1800.0
11120660,신사2동,06,15377.0,14901.0,30278.0,1513.9
11120670,증산동,06,12546.0,13822.0,26368.0,1318.4
11120680,수색동,06,28482.0,25777.0,54259.0,2712.95
11120710,진관동,06,51261.0,42508.0,93769.0,4688.45
11120720,불광2동,06,22238.0,22345.0,44583.0,2229.15
11120730,응암3동,06,17757.0,20740.0,38497.0,1924.85
11120740,역촌동,06,29497.0,31005.0,60502.0,3025.1
11130520,천연동,06,21423.0,27177.0,48600.0,2430.0
11130620,홍제1동,06,34070.0,37930.0,72000.0,3600.0
11130640,홍제3동,06,19367.0,18068.0,37435.0,1871.75
11130650,홍제2동,06,6660.0,6962.0,13622.0,681.1
11130660,홍은1동,06,16346.0,14906.0,31252.0,1562.6
11130680,홍은2동,06,46372.0,49612.0,95984.0,4799.2
11130690,남가좌1동,06,24179.0,21407.0,45586.0,2279.3
11130700,남가좌2동,06,27239.0,26962.0,54201.0,2710.05
11130710,북가좌1동,06,19898.0,15348.0,35246.0,1762.3
11130720,북가좌2동,06,22496.0,23413.0,45909.0,2295.45
11130730,충현동,06,18452.0,27435.0,45887.0,2294.35
11130740,북아현동,06,8276.0,10869.0,19145.0,957.25
11130750,신촌동,06,35711.0,59181.0,94892.0,4744.6
11130760,연희동,06,42423.0,50151.0,92574.0,4628.7
11140590,용강동,06,10676.0,13665.0,24341.0,1217.05
11140600,대흥동,06,22340.0,28751.0,51091.0,2554.55
11140610,염리동,06,4682.0,5806.0,10488.0,524.4
11140630,신수동,06,5237.0,6285.0,11522.0,576.1
11140660,서교동,06,41245.0,67275.0,108520.0,5426.0
11140680,합정동,06,4876.0,7971.0,12847.0,642.35
11140690,망원1동,06,11481.0,14594.0,26075.0,1303.75
11140700,망원2동,06,10545.0,14039.0,24584.0,1229.2
11140710,연남동,06,8733.0,11287.0,20020.0,1001.0
11140720,성산1동,06,13447.0,18187.0,31634.0,1581.7
11140730,성산2동,06,24634.0,26472.0,51106.0,2555.3
