,행정동별,자치구의 주거지역 면적,자치구의 주거지역 비율,자치구의 상업지역 면적,자치구의 상업지역 비율
1,사직동,505305.07,2.11,150976.45,0.63
2,삼청동,612628.55,2.56,182992.86,0.76
3,부암동,933333.43,3.89,278748.35,1.16
4,평창동,3646990.09,15.21,1089732.74,4.54
5,무악동,148017.64,0.62,44353.0,0.18
6,교남동,143906.04,0.6,42884.36,0.18
7,가회동,222026.45,0.93,66382.64,0.28
8,종로1.2.3.4가동,966226.24,4.03,288735.12,1.2
9,종로5.6가동,246696.06,1.03,73725.85,0.31
10,이화동,320704.88,1.34,95755.49,0.4
11,혜화동,460499.31,1.92,137464.94,0.57
12,창신1동,127459.63,0.53,38184.71,0.16
13,창신2동,106901.63,0.45,32016.41,0.13
14,창신3동,94566.82,0.39,28197.94,0.12
15,숭인1동,94566.82,0.39,28197.94,0.12
16,숭인2동,143906.04,0.6,42884.36,0.18
17,청운효자동,1056681.46,4.41,315758.14,1.32
19,소공동,573541.71,5.75,375424.07,3.76
20,회현동,507131.61,5.08,331953.92,3.33
21,명동,597690.83,5.99,391231.4,3.92
22,필동,688250.05,6.9,450508.89,4.52
23,장충동,821070.23,8.23,537449.2,5.39
24,광희동,446758.8,4.48,292435.59,2.93
25,을지로동,362236.87,3.63,237109.94,2.38
26,신당5동,235453.96,2.36,154121.46,1.55
27,황학동,199230.28,2.0,130410.47,1.31
28,중림동,289789.49,2.91,189687.95,1.9
29,신당동,332050.46,3.33,217350.78,2.18
30,다산동,307901.34,3.09,201543.45,2.02
31,약수동,289789.49,2.91,189687.95,1.9
32,청구동,205267.56,2.06,134362.3,1.35
33,동화동,156969.31,1.57,102747.64,1.03
35,후암동,478997.7,2.19,50113.5,0.23
36,용산2가동,1091669.19,4.98,114212.17,0.52
37,남영동,662799.15,3.03,69343.1,0.32
38,원효로2동,395451.59,1.81,41372.77,0.19
39,효창동,245068.59,1.12,25639.47,0.12
40,용문동,155952.74,0.71,16316.02,0.07
41,이촌1동,1592945.85,7.27,166656.53,0.76
42,이촌2동,679508.37,3.1,71091.25,0.32
43,이태원1동,317475.22,1.45,33214.76,0.15
44,이태원2동,478997.7,2.19,50113.5,0.23
45,서빙고동,1559527.41,7.12,163160.24,0.75
46,보광동,395451.59,1.81,41372.77,0.19
47,청파동,501276.67,2.29,52444.36,0.24
48,원효로1동,328614.7,1.5,34380.19,0.16
49,한강로동,1615224.81,7.38,168987.39,0.77
50,한남동,1676491.96,7.66,175397.26,0.8
52,왕십리2동,242093.25,1.44,11921.15,0.07
53,마장동,619994.91,3.69,30529.78,0.18
54,사근동,649518.48,3.87,31983.58,0.19
55,행당1동,348378.09,2.07,17154.83,0.1
56,행당2동,247997.96,1.48,12211.91,0.07
57,응봉동,336568.67,2.0,16573.31,0.1
58,금호1가동,271616.82,1.62,13374.95,0.08
59,금호4가동,495995.93,2.95,24423.82,0.15
60,성수1가1동,1163228.55,6.92,57279.68,0.34
61,성수1가2동,525519.5,3.13,25877.62,0.15
62,성수2가1동,690851.47,4.11,34018.9,0.2
63,성수2가3동,608185.48,3.62,29948.26,0.18
64,송정동,442853.51,2.64,21806.99,0.13
65,용답동,1363988.8,8.12,67165.52,0.4
66,왕십리도선동,425139.37,2.53,20934.71,0.12
67,금호2.3가동,377901.66,2.25,18608.63,0.11
68,옥수동,1145514.41,6.82,56407.4,0.34
70,화양동,788312.2,4.62,14048.92,0.08
71,군자동,502888.82,2.95,8962.24,0.05
72,중곡1동,421339.28,2.47,7508.91,0.04
73,중곡2동,373768.72,2.19,6661.13,0.04
74,중곡3동,407747.69,2.39,7266.68,0.04
75,중곡4동,1576624.4,9.23,28097.84,0.16
76,능동,747537.43,4.38,13322.25,0.08
77,구의1동,380564.51,2.23,6782.24,0.04
78,구의2동,944615.48,5.53,16834.48,0.1
79,구의3동,693171.07,4.06,12353.36,0.07
80,광장동,1624194.97,9.51,28945.62,0.17
81,자양1동,387360.31,2.27,6903.35,0.04
82,자양2동,1141693.53,6.69,20346.71,0.12
83,자양3동,815495.38,4.78,14533.36,0.09
84,자양4동,788312.2,4.62,14048.92,0.08
86,회기동,696773.29,4.89,44111.91,0.31
87,휘경1동,577588.39,4.05,36566.45,0.26
88,휘경2동,962647.31,6.76,60944.08,0.43
89,청량리동,1100168.35,7.72,69650.38,0.49
90,용신동,1476059.21,10.36,93447.59,0.66
91,제기동,1081832.22,7.59,68489.54,0.48
92,전농1동,1091000.28,7.66,69069.96,0.48
93,전농2동,788453.99,5.53,49916.11,0.35
94,답십리1동,742613.64,5.21,47014.01,0.33
95,답십리2동,779285.92,5.47,49335.69,0.35
96,장안1동,1146008.7,8.05,72552.48,0.51
97,장안2동,999319.59,7.02,63265.76,0.44
98,이문1동,953479.24,6.69,60363.66,0.42
99,이문2동,632596.8,4.44,40048.97,0.28
101,면목2동,449868.17,2.43,15433.84,0.08
102,면목4동,508292.61,2.74,17438.23,0.09
103,면목5동,408971.06,2.21,14030.76,0.08
104,면목7동,701093.25,3.78,24052.74,0.13
105,상봉1동,514135.05,2.77,17638.67,0.1
106,상봉2동,379758.85,2.05,13028.56,0.07
107,중화1동,373916.4,2.02,12828.13,0.07
108,중화2동,590086.82,3.18,20244.39,0.11
109,묵1동,701093.25,3.78,24052.74,0.13
110,묵2동,391443.73,2.11,13429.44,0.07
111,망우3동,537504.83,2.9,18440.43,0.1
112,신내1동,1495665.61,8.07,51312.5,0.28
113,신내2동,543347.27,2.93,18640.87,0.1
114,면목본동,490765.28,2.65,16836.91,0.09
115,면목3.8동,952318.34,5.14,32671.63,0.18
116,망우본동,1770260.47,9.55,60733.16,0.33
118,돈암1동,355362.13,1.44,7988.2,0.03
119,돈암2동,348109.85,1.41,7825.17,0.03
120,안암동,964554.36,3.92,21682.25,0.09
121,보문동,406128.15,1.65,9129.37,0.04
122,정릉1동,319100.69,1.3,7173.07,0.03
123,정릉2동,848517.75,3.45,19073.86,0.08
124,정릉3동,2690599.01,10.93,60482.06,0.25
125,정릉4동,2269966.28,9.22,51026.64,0.21
126,길음1동,572930.79,2.33,12878.93,0.05
127,길음2동,420632.73,1.71,9455.42,0.04
128,월곡1동,587435.36,2.39,13204.98,0.05
129,월곡2동,986311.23,4.01,22171.32,0.09
130,장위1동,507660.19,2.06,11411.71,0.05
131,장위2동,485903.33,1.97,10922.64,0.04
132,장위3동,471398.75,1.91,10596.59,0.04
133,성북동,2074154.5,8.42,46624.98,0.19
134,삼선동,667210.54,2.71,14998.25,0.06
135,동선동,529417.06,2.15,11900.78,0.05
136,종암동,1058834.11,4.3,23801.56,0.1
137,석관동,1254645.9,5.1,28203.22,0.11
139,번1동,304562.87,1.29,7851.46,0.03
140,번2동,438385.95,1.85,11301.34,0.05
141,번3동,507604.79,2.15,13085.76,0.06
142,수유1동,770636.36,3.26,19866.56,0.08
143,수유2동,263031.57,1.11,6780.8,0.03
144,수유3동,332250.41,1.41,8565.22,0.04
145,삼양동,419927.6,1.78,10825.49,0.05
146,미아동,429156.78,1.82,11063.41,0.05
147,송중동,466073.49,1.97,12015.11,0.05
148,송천동,415313.01,1.76,10706.53,0.05
149,삼각산동,286104.52,1.21,7375.61,0.03
