,행정동_명칭,버스정류장 수,지하철역 수
0,가락1동,11.0,3.0
1,가락2동,28.0,3.0
2,가락본동,29.0,1.0
3,가리봉동,2.0,0.0
4,가산동,103.0,2.0
5,가양1동,59.0,4.0
6,가양2동,15.0,1.0
7,가양3동,18.0,1.0
8,가회동,18.0,0.0
9,갈현1동,35.0,1.0
10,갈현2동,28.0,0.0
11,강일동,48.0,0.0
12,개봉1동,48.0,0.0
13,개봉2동,25.0,1.0
14,개봉3동,22.0,0.0
15,개포1동,16.0,0.0
16,개포2동,34.0,3.0
17,개포3동,7.0,0.0
18,개포4동,28.0,0.0
19,거여1동,10.0,1.0
20,거여2동,11.0,0.0
21,고덕1동,27.0,0.0
22,고덕2동,24.0,0.0
23,고척1동,30.0,0.0
24,고척2동,37.0,0.0
25,공덕동,42.0,4.0
26,공릉1동,45.0,3.0
27,공릉2동,53.0,0.0
28,공항동,67.0,3.0
29,광장동,34.0,1.0
30,광희동,21.0,3.0
31,교남동,28.0,0.0
32,구로1동,24.0,0.0
33,구로2동,43.0,2.0
34,구로3동,50.0,0.0
35,구로4동,21.0,2.0
36,구로5동,30.0,0.0
37,구산동,32.0,0.0
38,구의1동,9.0,0.0
39,구의2동,24.0,1.0
40,구의3동,28.0,1.0
41,군자동,23.0,2.0
42,금호1가동,34.0,1.0
43,금호2·3가동,42.0,0.0
44,금호4가동,26.0,2.0
45,길동,34.0,1.0
46,길음1동,28.0,1.0
47,길음2동,21.0,0.0
48,낙성대동,34.0,1.0
49,난곡동,19.0,0.0
50,난향동,15.0,0.0
51,남가좌1동,16.0,1.0
52,남가좌2동,28.0,0.0
53,남영동,25.0,5.0
54,남창동,0.0,1.0
55,남현동,7.0,0.0
56,내곡동,47.0,0.0
57,노량진1동,54.0,4.0
58,노량진2동,12.0,0.0
59,녹번동,28.0,1.0
60,논현1동,18.0,3.0
61,논현2동,25.0,3.0
62,능동,6.0,1.0
63,다산동,9.0,2.0
64,답십리1동,28.0,0.0
65,답십리2동,18.0,0.0
66,당산1동,24.0,2.0
67,당산2동,35.0,2.0
68,대림1동,16.0,0.0
69,대림2동,12.0,2.0
70,대림3동,39.0,0.0
71,대방동,53.0,5.0
72,대조동,30.0,5.0
73,대치1동,18.0,2.0
74,대치2동,31.0,4.0
75,대치4동,16.0,0.0
76,대학동,43.0,1.0
77,대흥동,36.0,2.0
78,도곡1동,30.0,1.0
79,도곡2동,16.0,1.0
80,도림동,25.0,0.0
81,도봉1동,37.0,1.0
82,도봉2동,42.0,2.0
83,도화동,33.0,1.0
84,독산1동,70.0,1.0
85,독산2동,5.0,0.0
86,독산3동,21.0,0.0
87,독산4동,17.0,0.0
88,돈암1동,11.0,0.0
89,돈암2동,28.0,0.0
90,동선동,26.0,1.0
91,동화동,2.0,0.0
92,둔촌1동,7.0,1.0
93,둔촌2동,27.0,1.0
94,등촌1동,11.0,0.0
95,등촌2동,9.0,0.0
96,등촌3동,49.0,0.0
97,마장동,24.0,2.0
98,마천1동,14.0,1.0
99,마천2동,14.0,0.0
100,망우3동,11.0,0.0
101,망우본동,52.0,2.0
102,망원1동,20.0,0.0
103,망원2동,38.0,0.0
104,면목2동,20.0,0.0
105,면목3·8동,28.0,1.0
106,면목4동,14.0,1.0
107,면목5동,17.0,0.0
108,면목7동,15.0,0.0
109,면목본동,27.0,1.0
110,명동,38.0,2.0
111,명일1동,21.0,1.0
112,명일2동,11.0,1.0
113,목1동,23.0,2.0
114,목2동,17.0,2.0
115,목3동,9.0,1.0
116,목4동,11.0,0.0
117,목5동,29.0,0.0
118,무악동,5.0,0.0
119,묵1동,30.0,1.0
120,묵2동,21.0,1.0
121,문래동,46.0,1.0
122,문정1동,20.0,0.0
123,문정2동,31.0,2.0
124,미성동,39.0,0.0
125,미아동,8.0,0.0
126,반포1동,19.0,2.0
127,반포2동,15.0,1.0
128,반포3동,15.0,0.0
129,반포4동,35.0,3.0
130,반포본동,2.0,1.0
131,발산1동,59.0,1.0
132,방배1동,26.0,1.0
133,방배2동,34.0,1.0
134,방배3동,41.0,0.0
135,방배4동,23.0,0.0
136,방배본동,28.0,1.0
137,방이1동,13.0,1.0
138,방이2동,12.0,1.0
139,방학1동,28.0,1.0
140,방학2동,24.0,0.0
141,방학3동,30.0,0.0
142,방화1동,34.0,1.0
143,방화2동,37.0,7.0
144,방화3동,20.0,1.0
145,번1동,30.0,1.0
146,번2동,46.0,0.0
147,번3동,39.0,0.0
148,보광동,16.0,0.0
149,보라매동,26.0,1.0
150,보문동,9.0,2.0
151,부암동,26.0,0.0
152,북가좌1동,11.0,0.0
153,북가좌2동,32.0,0.0
154,북아현동,17.0,0.0
155,불광1동,35.0,1.0
156,불광2동,24.0,0.0
157,사근동,41.0,1.0
158,사당1동,15.0,3.0
159,사당2동,33.0,3.0
160,사당3동,28.0,0.0
161,사당4동,3.0,0.0
162,사당5동,24.0,1.0
163,사직동,37.0,1.0
164,삼각산동,22.0,1.0
165,삼선동,34.0,2.0
166,삼성1동,28.0,2.0
167,삼성2동,23.0,2.0
168,삼성동,27.0,0.0
169,삼양동,27.0,1.0
170,삼전동,4.0,1.0
171,삼청동,19.0,0.0
172,상계10동,25.0,0.0
173,상계1동,34.0,1.0
174,상계2동,26.0,2.0
175,상계3·4동,18.0,1.0
176,상계5동,26.0,1.0
177,상계6·7동,27.0,0.0
178,상계8동,6.0,0.0
179,상계9동,20.0,1.0
180,상도1동,48.0,2.0
181,상도2동,42.0,1.0
182,상도3동,31.0,0.0
183,상도4동,35.0,0.0
184,상봉1동,16.0,2.0
185,상봉2동,17.0,1.0
186,상암동,97.0,2.0
187,상일1동,43.0,1.0
188,상일2동,18.0,2.0
189,서강동,60.0,2.0
190,서교동,79.0,5.0
191,서림동,35.0,1.0
192,서빙고동,22.0,1.0
193,서원동,21.0,2.0
194,서초1동,34.0,1.0
195,서초2동,45.0,2.0
196,서초3동,71.0,3.0
197,서초4동,45.0,0.0
198,석관동,30.0,3.0
199,석촌동,13.0,2.0
200,성내1동,24.0,1.0
201,성내2동,14.0,2.0
202,성내3동,20.0,1.0
203,성북동,46.0,0.0
204,성산1동,25.0,0.0
205,성산2동,44.0,2.0
206,성수1가1동,33.0,1.0
207,성수1가2동,14.0,1.0
208,성수2가1동,30.0,0.0
209,성수2가3동,21.0,1.0
210,성현동,27.0,0.0
211,세곡동,68.0,0.0
212,소공동,31.0,2.0
213,송정동,13.0,0.0
214,송중동,60.0,1.0
215,송천동,25.0,2.0
216,송파1동,12.0,0.0
217,송파2동,18.0,0.0
218,수궁동,42.0,2.0
219,수색동,18.0,1.0
220,수서동,14.0,3.0
221,수유1동,35.0,1.0
222,수유2동,23.0,2.0
223,수유3동,20.0,0.0
224,숭인1동,13.0,1.0
225,숭인2동,12.0,2.0
226,시흥1동,44.0,1.0
227,시흥2동,19.0,0.0
228,시흥3동,17.0,0.0
229,시흥4동,26.0,0.0
230,시흥5동,31.0,0.0
231,신길1동,21.0,1.0
232,신길3동,26.0,0.0
233,신길4동,10.0,0.0
234,신길5동,22.0,0.0
235,신길6동,23.0,1.0
236,신길7동,29.0,1.0
237,신내1동,54.0,1.0
238,신내2동,22.0,1.0
239,신당5동,9.0,1.0
240,신당동,11.0,3.0
241,신대방1동,18.0,0.0
242,신대방2동,22.0,2.0
243,신도림동,32.0,3.0
244,신림동,18.0,1.0
245,신사1동,27.0,1.0
246,신사2동,32.0,1.0
247,신사동,39.0,3.0
248,신설동,0.0,1.0
249,신수동,26.0,0.0
250,신원동,10.0,0.0
251,신월1동,9.0,0.0
252,신월2동,7.0,0.0
253,신월3동,8.0,0.0
254,신월4동,8.0,0.0
255,신월5동,15.0,0.0
256,신월6동,12.0,0.0
257,신월7동,21.0,0.0
258,신정1동,30.0,1.0
259,신정2동,15.0,0.0
260,신정3동,60.0,0.0
261,신정4동,16.0,1.0
262,신정6동,21.0,0.0
263,신정7동,26.0,1.0
264,신촌동,51.0,2.0
265,쌍문1동,49.0,1.0
266,쌍문2동,16.0,0.0
267,쌍문3동,11.0,0.0
268,쌍문4동,20.0,0.0
269,아현동,19.0,3.0
270,안암동,37.0,1.0
271,암사1동,23.0,1.0
272,암사2동,2.0,0.0
273,암사3동,11.0,1.0
274,압구정동,9.0,0.0
275,약수동,14.0,1.0
276,양재1동,72.0,1.0
277,양재2동,63.0,2.0
278,양평1동,21.0,1.0
279,양평2동,33.0,1.0
280,여의동,59.0,6.0
281,역삼1동,46.0,6.0
282,역삼2동,22.0,0.0
283,역촌동,51.0,1.0
284,연남동,21.0,0.0
285,연희동,51.0,0.0
286,염리동,8.0,1.0
287,염창동,40.0,0.0
288,영등포동,49.0,2.0
289,영등포본동,17.0,1.0
290,오금동,24.0,0.0
291,오류1동,14.0,0.0
292,오류2동,87.0,2.0
293,오륜동,21.0,3.0
294,옥수동,35.0,1.0
295,왕십리2동,13.0,1.0
296,왕십리도선동,28.0,0.0
297,용강동,20.0,0.0
298,용답동,9.0,4.0
299,용문동,17.0,2.0
300,용산2가동,29.0,1.0
